##
## Configuration for Draw.io CSV Import
#
# label: %name%<br><i style="color:gray;">%summary%</i><br><small>Updated: %upload_time%<br>Depth: %depth%</small>
# style: shape=rectangle;html=1;whiteSpace=wrap;rounded=1;fillColor=%color%;strokeColor=#000000;strokeWidth=1;fontColor=#000000;
# connect: {"from": "target_node", "to": "source_name", "style":"endArrow=classic;endFill=1;html=1;fontSize=10;"}
# identity: pythonpackage_id
# namespace: csvimport-
# layout: auto
# nodespacing: 30
# edgespacing: 40
#
## ---- CSV starts below ----
pythonpackage_id,name,summary,upload_time,depth,color,source_name,target_node
geopandas,geopandas,Geographic pandas extensions,2025-06-01T16:54:29,3,#FF33A8,geopandas,psycopg
geopandas,geopandas,Geographic pandas extensions,2025-06-01T16:54:29,3,#FF33A8,geopandas,geopy
geopandas,geopandas,Geographic pandas extensions,2025-06-01T16:54:29,3,#FF33A8,geopandas,mapclassify
geopandas,geopandas,Geographic pandas extensions,2025-06-01T16:54:29,3,#FF33A8,geopandas,xyzservices
geopandas,geopandas,Geographic pandas extensions,2025-06-01T16:54:29,3,#FF33A8,geopandas,folium
geopandas,geopandas,Geographic pandas extensions,2025-06-01T16:54:29,3,#FF33A8,geopandas,geoalchemy2
geopandas,geopandas,Geographic pandas extensions,2025-06-01T16:54:29,3,#FF33A8,geopandas,codecov
osmnx,osmnx,"Download, model, analyze, and visualize street networks and other geospatial features from OpenStreetMap",2025-05-06T17:47:29,2,#33FF57,osmnx,requests
requests,requests,Python HTTP for Humans.,2016-04-29T21:57:23,3,#FF33A8,requests,urllib3
osmnx,osmnx,"Download, model, analyze, and visualize street networks and other geospatial features from OpenStreetMap",2025-05-06T17:47:29,2,#33FF57,osmnx,shapely
osmnx,osmnx,"Download, model, analyze, and visualize street networks and other geospatial features from OpenStreetMap",2025-05-06T17:47:29,2,#33FF57,osmnx,scikit-learn
scikit-learn,scikit-learn,A set of python modules for machine learning and data mining,2025-05-09T15:01:29,3,#FF33A8,scikit-learn,meson-python
scikit-learn,scikit-learn,A set of python modules for machine learning and data mining,2025-05-09T15:01:29,3,#FF33A8,scikit-learn,memory_profiler
scikit-learn,scikit-learn,A set of python modules for machine learning and data mining,2025-05-09T15:01:29,3,#FF33A8,scikit-learn,scikit-image
scikit-learn,scikit-learn,A set of python modules for machine learning and data mining,2025-05-09T15:01:29,3,#FF33A8,scikit-learn,polars
scikit-learn,scikit-learn,A set of python modules for machine learning and data mining,2025-05-09T15:01:29,3,#FF33A8,scikit-learn,pyamg
osmnx,osmnx,"Download, model, analyze, and visualize street networks and other geospatial features from OpenStreetMap",2025-05-06T17:47:29,2,#33FF57,osmnx,rasterio
rasterio,rasterio,Fast and direct raster I/O for use with Numpy and SciPy,2024-08-31T13:30:36,3,#FF33A8,rasterio,affine
rasterio,rasterio,Fast and direct raster I/O for use with Numpy and SciPy,2024-08-31T13:30:36,3,#FF33A8,rasterio,cligj
rasterio,rasterio,Fast and direct raster I/O for use with Numpy and SciPy,2024-08-31T13:30:36,3,#FF33A8,rasterio,click-plugins
rasterio,rasterio,Fast and direct raster I/O for use with Numpy and SciPy,2024-08-31T13:30:36,3,#FF33A8,rasterio,ghp-import
rasterio,rasterio,Fast and direct raster I/O for use with Numpy and SciPy,2024-08-31T13:30:36,3,#FF33A8,rasterio,sphinx-click
rasterio,rasterio,Fast and direct raster I/O for use with Numpy and SciPy,2024-08-31T13:30:36,3,#FF33A8,rasterio,sphinx-rtd-theme
rasterio,rasterio,Fast and direct raster I/O for use with Numpy and SciPy,2024-08-31T13:30:36,3,#FF33A8,rasterio,ipython
rasterio,rasterio,Fast and direct raster I/O for use with Numpy and SciPy,2024-08-31T13:30:36,3,#FF33A8,rasterio,boto3
osmnx,osmnx,"Download, model, analyze, and visualize street networks and other geospatial features from OpenStreetMap",2025-05-06T17:47:29,2,#33FF57,osmnx,rio-vrt
rio-vrt,rio-vrt,A simple librairy to build a vrt from multiple raster source relying only on rasterio,2024-08-19T21:50:59,3,#FF33A8,rio-vrt,commitizen
rio-vrt,rio-vrt,A simple librairy to build a vrt from multiple raster source relying only on rasterio,2024-08-19T21:50:59,3,#FF33A8,rio-vrt,sphinx-icon
rio-vrt,rio-vrt,A simple librairy to build a vrt from multiple raster source relying only on rasterio,2024-08-19T21:50:59,3,#FF33A8,rio-vrt,sphinx-btn
rio-vrt,rio-vrt,A simple librairy to build a vrt from multiple raster source relying only on rasterio,2024-08-19T21:50:59,3,#FF33A8,rio-vrt,xmlschema
rio-vrt,rio-vrt,A simple librairy to build a vrt from multiple raster source relying only on rasterio,2024-08-19T21:50:59,3,#FF33A8,rio-vrt,natsort
networkx,networkx,Python package for creating and manipulating graphs and networks,2025-05-09T15:49:39,1,#33C1FF,networkx,momepy
momepy,momepy,Urban Morphology Measuring Toolkit,2024-11-29T09:35:53,2,#33FF57,momepy,libpysal
libpysal,libpysal,Core components of PySAL - A library of spatial analysis functions,2023-11-05T21:11:08,3,#FF33A8,libpysal,platformdirs
libpysal,libpysal,Core components of PySAL - A library of spatial analysis functions,2023-11-05T21:11:08,3,#FF33A8,libpysal,zstd
libpysal,libpysal,Core components of PySAL - A library of spatial analysis functions,2023-11-05T21:11:08,3,#FF33A8,libpysal,watermark
libpysal,libpysal,Core components of PySAL - A library of spatial analysis functions,2023-11-05T21:11:08,3,#FF33A8,libpysal,sphinx_bootstrap_theme
libpysal,libpysal,Core components of PySAL - A library of spatial analysis functions,2023-11-05T21:11:08,3,#FF33A8,libpysal,codecov
libpysal,libpysal,Core components of PySAL - A library of spatial analysis functions,2023-11-05T21:11:08,3,#FF33A8,libpysal,geodatasets
momepy,momepy,Urban Morphology Measuring Toolkit,2024-11-29T09:35:53,2,#33FF57,momepy,tqdm
tqdm,tqdm,"Fast, Extensible Progress Meter",2016-10-31T16:24:19,3,#FF33A8,tqdm,nbval
tqdm,tqdm,"Fast, Extensible Progress Meter",2016-10-31T16:24:19,3,#FF33A8,tqdm,slack-sdk
momepy,momepy,Urban Morphology Measuring Toolkit,2024-11-29T09:35:53,2,#33FF57,momepy,inequality
inequality,inequality,inequality: Spatial inequality analysis,2025-01-29T19:28:25,3,#FF33A8,inequality,sphinx_bootstrap_theme
inequality,inequality,inequality: Spatial inequality analysis,2025-01-29T19:28:25,3,#FF33A8,inequality,codecov
inequality,inequality,inequality: Spatial inequality analysis,2025-01-29T19:28:25,3,#FF33A8,inequality,mapclassify
inequality,inequality,inequality: Spatial inequality analysis,2025-01-29T19:28:25,3,#FF33A8,inequality,folium
momepy,momepy,Urban Morphology Measuring Toolkit,2024-11-29T09:35:53,2,#33FF57,momepy,mapclassify
mapclassify,mapclassify,Classification Schemes for Choropleth Maps.,2025-05-28T05:34:37,3,#FF33A8,mapclassify,watermark
